date,vwretd,vwretx
19890228,-0.025031,-0.029187
19890331,0.023038,0.02044
19890428,0.051707,0.049899
19890531,0.041022,0.035451
19890630,-0.005611,-0.00794
19890731,0.090053,0.088194
19890831,0.019853,0.015516
19890929,-0.004004,-0.006616
19891031,-0.023639,-0.025668
19891130,0.020479,0.016641
19891229,0.022657,0.019988
19900131,-0.067661,-0.069407
19900228,0.013381,0.008986
19900330,0.026588,0.02436
19900430,-0.024504,-0.026508
19900531,0.097419,0.092408
19900629,-0.006754,-0.008921
19900731,-0.004454,-0.006508
19900831,-0.090801,-0.094897
19900928,-0.048959,-0.051213
19901031,-0.003597,-0.00611
19901130,0.064561,0.059897
19901231,0.027987,0.024954
19910131,0.045001,0.043063
19910228,0.071565,0.067371
19910328,0.024354,0.022312
19910430,0.002268,0.000214
19910531,0.04293,0.038759
19910628,-0.045357,-0.047498
19910731,0.046526,0.044799
19910830,0.023885,0.019912
19910930,-0.016861,-0.019061
19911031,0.013458,0.011899
19911129,-0.040214,-0.043973
19911231,0.114089,0.111476
19920131,-0.018348,-0.019654
19920228,0.012865,0.009442
19920331,-0.01947,-0.021873
19920430,0.028614,0.027157
19920529,0.00485,0.001087
19920630,-0.01503,-0.017545
19920731,0.040924,0.039465
19920831,-0.020615,-0.024214
19920930,0.01134,0.008916
19921030,0.004796,0.003455
19921130,0.033794,0.030069
19921231,0.01338,0.011197
19930129,0.007282,0.005964
19930226,0.013526,0.010361
19930331,0.021202,0.018578
19930430,-0.024519,-0.02578
19930528,0.026259,0.022549
19930630,0.003466,0.001095
19930730,-0.004593,-0.005909
19930831,0.037431,0.033957
19930930,-0.007582,-0.009842
19931029,0.019884,0.01859
19931130,-0.008655,-0.012084
19931231,0.012646,0.010617
19940131,0.033429,0.031954
19940228,-0.027161,-0.030121
19940331,-0.043456,-0.045728
19940429,0.012817,0.011477
19940531,0.016309,0.012559
19940630,-0.024762,-0.027113
19940729,0.032714,0.031381
19940831,0.041341,0.03799
19940930,-0.02394,-0.026238
19941031,0.022619,0.021043
19941130,-0.036248,-0.039423
19941230,0.014955,0.012419
19950131,0.026,0.024348
19950228,0.039228,0.036328
19950331,0.029334,0.027179
19950428,0.029395,0.027914
19950531,0.039809,0.036454
19950630,0.024155,0.022198
19950731,0.033405,0.032023
19950831,0.003495,0.000642
19950929,0.042102,0.040182
19951031,-0.003442,-0.004864
19951130,0.044179,0.041338
19951229,0.017643,0.015809
19960131,0.034861,0.033415
19960229,0.010088,0.007689
19960329,0.009585,0.00786
19960430,0.015133,0.013857
19960531,0.025257,0.02253
19960628,0.004128,0.002562
19960731,-0.044441,-0.046048
19960830,0.021928,0.019589
19960930,0.056035,0.054112
19961031,0.026798,0.025348
19961129,0.076455,0.074218
19961231,-0.019815,-0.021518
19970131,0.062779,0.061689
19970228,0.007752,0.0058
19970331,-0.041653,-0.04331
19970430,0.060274,0.059016
19970530,0.061401,0.059272
19970630,0.044103,0.042762
19970731,0.080388,0.078977
19970829,-0.05497,-0.056458
19970930,0.053886,0.052408
19971031,-0.032605,-0.03373
19971128,0.046321,0.044625
19971231,0.017147,0.0157
19980130,0.011994,0.01108
19980227,0.071956,0.070303
19980331,0.051336,0.050104
19980430,0.011275,0.010232
19980529,-0.017674,-0.019206
19980630,0.04097,0.0398
19980731,-0.010109,-0.011112
19980831,-0.143124,-0.144504
19980930,0.063176,0.061612
19981030,0.080111,0.079144
19981130,0.062164,0.060685
19981231,0.059673,0.058454
19990129,0.0428,0.042
19990226,-0.031935,-0.033156
19990331,0.038979,0.037774
19990430,0.037559,0.036771
19990528,-0.023159,-0.024833
19990630,0.054431,0.053398
19990730,-0.03022,-0.031084
19990831,-0.004989,-0.006251
19990930,-0.028079,-0.029257
19991029,0.064238,0.063512
19991130,0.020822,0.019547
19991231,0.062579,0.061549
20000131,-0.049606,-0.050273
20000229,-0.017459,-0.018667
20000331,0.098492,0.097434
20000428,-0.031585,-0.032308
20000531,-0.022304,-0.023617
20000630,0.026219,0.025497
20000731,-0.012795,-0.013559
20000831,0.062594,0.061275
20000929,-0.052088,-0.052795
20001031,-0.00412,-0.004829
20001130,-0.078268,-0.079557
20001229,0.00572,0.004861
20010131,0.032375,0.031555
20010228,-0.090952,-0.092131
20010330,-0.063706,-0.064587
20010430,0.077825,0.076981
20010531,0.00687,0.00533
20010629,-0.024506,-0.025183
20010731,-0.009317,-0.010248
20010831,-0.063435,-0.064933
